Invoice,Chk/Ref,Type,Order,Customer,Amount,Date,Due Date,Paid Date
145289,0,Invoices,S029413,Cust1,"8,104.70",3/15/2011,4/14/2011,3/28/2011
145488,0,Invoices,S029767,Cust1,406.22,3/29/2011,4/28/2011,4/11/2011
145745,0,Invoices,S029869,Cust1,"6,912.78",4/15/2011,5/15/2011,4/25/2011
145746,0,Invoices,S029874,Cust1,"18,078.00",4/15/2011,5/15/2011,4/25/2011
145815,0,Invoices,S029917,Cust1,"5,941.86",4/20/2011,5/20/2011,5/2/2011
145971,0,Invoices,S029918,Cust1,"19,299.60",5/3/2011,6/2/2011,5/9/2011
146144,0,Invoices,S029951,Cust1,"23,055.75",5/16/2011,6/15/2011,5/31/2011
146146,0,Invoices,S030076,Cust1,"2,285.28",5/16/2011,6/15/2011,5/31/2011
146170,0,Invoices,S030076,Cust1,"3,371.43",5/18/2011,6/17/2011,5/31/2011
146172,0,Invoices,S030129,Cust1,"1,020.00",5/18/2011,6/17/2011,5/31/2011
146312,0,Invoices,S030213,Cust1,"14,283.00",5/31/2011,6/30/2011,6/15/2011
146353,0,Invoices,S030213,Cust1,"3,218.33",6/3/2011,7/3/2011,6/15/2011
146541,0,Invoices,S029952,Cust1,"3,917.28",6/21/2011,7/21/2011,7/12/2011
146547,0,Invoices,S030330,Cust1,"8,686.68",6/21/2011,7/21/2011,7/12/2011
146600,0,Invoices,S030331,Cust1,"2,786.54",6/24/2011,7/24/2011,7/12/2011
146605,0,Invoices,S030432,Cust1,"1,917.66",6/24/2011,7/24/2011,7/12/2011
146606,0,Invoices,S030434,Cust1,"4,655.04",6/24/2011,7/24/2011,7/12/2011
146607,0,Invoices,S030435,Cust1,"1,829.82",6/24/2011,7/24/2011,7/12/2011
146610,0,Invoices,S030464,Cust1,421.08,6/24/2011,7/24/2011,7/12/2011
146650,0,Invoices,S030331,Cust1,"16,499.68",6/29/2011,7/29/2011,7/12/2011
146726,0,Invoices,S030096,Cust1,"1,256.56",7/6/2011,8/5/2011,7/18/2011
146775,0,Invoices,S030491,Cust1,"1,717.32",7/11/2011,8/10/2011,7/27/2011
146778,0,Invoices,S030527,Cust1,"3,616.03",7/11/2011,8/10/2011,7/27/2011
146858,0,Invoices,S030490,Cust1,"18,258.00",7/18/2011,8/17/2011,7/27/2011
146859,0,Invoices,S030634,Cust1,"6,381.60",7/18/2011,8/17/2011,7/27/2011
146982,0,Invoices,S030490,Cust1,"27,542.50",7/27/2011,8/26/2011,8/8/2011
147211,0,Invoices,S030751,Cust1,"2,985.14",8/10/2011,9/9/2011,9/6/2011
147333,0,Invoices,S030561,Cust1,"35,127.00",8/19/2011,9/18/2011,8/31/2011
147342,0,Invoices,S030860,Cust1,"7,854.68",8/19/2011,9/18/2011,8/31/2011
147481,0,Invoices,S030982,Cust1,"1,398.56",8/29/2011,9/28/2011,9/6/2011
147482,0,Invoices,S030983,Cust1,908.20,8/29/2011,9/28/2011,9/6/2011
147483,0,Invoices,S030985,Cust1,448.28,8/29/2011,9/28/2011,9/6/2011
147490,0,Invoices,S031020,Cust1,"2,652.24",8/29/2011,9/28/2011,9/6/2011
147735,0,Invoices,S031052,Cust1,"4,644.92",9/20/2011,10/20/2011,9/26/2011
147736,0,Invoices,S031069,Cust1,"14,834.50",9/20/2011,10/20/2011,9/26/2011
147737,0,Invoices,S031070,Cust1,"9,753.75",9/20/2011,10/20/2011,9/26/2011
147839,0,Invoices,S031220,Cust1,"20,689.00",9/27/2011,10/27/2011,10/3/2011
147840,0,Invoices,S031221,Cust1,"12,883.64",9/27/2011,10/27/2011,10/3/2011
147969,0,Invoices,S031348,Cust1,915.17,10/6/2011,11/5/2011,10/17/2011
148484,0,Invoices,S031567,Cust1,"8,149.73",11/17/2011,12/17/2011,11/28/2011
148638,0,Invoices,S031742,Cust1,"6,809.24",12/1/2011,12/31/2011,12/12/2011
